timestamp,x,y,z
90996,0.43,-0.06,-0.24
91099,0.37,-0.06,-0.24
91202,0.37,-0.06,-0.18
91305,0.43,-0.06,-0.18
91407,0.37,-0.06,-0.18
91510,0.37,-0.06,-0.18
91612,0.37,-0.06,-0.18
91714,0.37,-0.12,-0.18
91817,0.37,-0.06,-0.24
91919,0.37,-0.06,-0.18
92022,0.37,-0.12,-0.18
92124,0.49,-0.06,-0.18
92227,0.37,-0.06,-0.24
92329,0.37,-0.06,-0.24
92432,0.31,-0.12,-0.18
92535,0.43,0.0,-0.24
92637,0.37,0.0,-0.24
92740,0.43,-0.06,-0.18
92843,0.49,0.0,-0.31
92946,0.61,0.0,-0.24
93048,0.67,-0.06,-0.18
93152,0.0,-0.43,0.0
93254,-30.76,-0.73,12.94
93356,2.56,-1.16,0.85
93459,158.51,-10.99,8.79
93561,-19.71,4.09,-2.56
93664,-44.56,2.75,-3.78
93768,-122.8,7.75,-3.91
93871,3.42,0.12,-0.98
93974,0.55,-0.06,-0.18
94076,0.37,-0.12,-0.18
94179,-4.09,0.85,-2.2
94282,14.89,-13.79,-31.56
94384,0.98,4.94,8.67
94488,0.61,0.06,-0.12
94590,4.21,0.49,1.34
94693,0.06,0.06,0.12
94796,0.12,0.06,0.37
94899,0.12,0.0,0.31
95002,0.24,-0.06,-0.06
95104,0.24,0.0,-0.06
95207,0.24,-0.06,0.24
95310,0.31,-0.06,0.0
95412,0.06,0.0,0.24
95516,0.24,0.06,0.0
95618,5.55,-60.61,-11.72
95721,-1016.85,19.53,85.39
95824,157.17,77.51,119.81
95926,-56.95,188.72,123.66
96029,-148.93,-552.67,197.94
96132,-217.47,-398.13,-14.04
96235,97.35,-41.2,-140.26
96338,219.97,-268.37,-2.56
96441,-22.58,73.73,124.39
96544,-38.39,128.17,46.26
96647,186.1,-933.59,-797.79
96750,-80.26,726.07,417.66
96853,37.29,-555.48,-232.91
96956,-190.92,739.44,368.9
97059,106.75,-586.18,-198.0
97163,-134.22,297.24,221.13
